firm,man,mh,mms,q,firm.q
fpt,aa-iva,aa-iva,fpt,1,1
crd,unknown,unknown,crd,1,1
brune,aa-iva,aa-iva,brune,1,1
pirso,aa-iva,aa-iva,pirso,1,1
lloyd,aa-iva,unknown,lloyd,1,1
eagle,aa-nss,aa-nss,eagle,1,1
taiqi,taiqi electric vehicle co. limited,taiqi,taiqi electric vehicle co. limited,1,1
itineo,aa-iva,aa-iva,itineo,1,1
beumer,aa-iva,unknown,beumer,1,1
clubcar,aa-iva,aa-iva,clubcar,1,1
stockel,aa-iva,aa-iva,stockel,1,1
uap (r),aa-iva,unknown,uap (r),1,1
xenatec,aa-iva,unknown,xenatec,1,1
sanyang,sanyang,unknown,,1,1
uaz (su),aa-iva,aa-iva,uaz (su),1,1
aro (ro),aa-iva,unknown,aro (ro),1,1
michalak,michalak,unknown,michalak,1,1
burstner,unknown,unknown,burstner gmbh,1,1
deere (d),aa-iva,aa-iva,deere (d),1,1
dong feng,aa-iva,aa-iva,dong feng,1,1
elnagh(i),aa-iva,aa-iva,elnagh(i),1,1
haidlmair,aa-iva,aa-iva,haidlmair,1,1
hoeckmayr,aa-iva,aa-iva,hoeckmayr,1,1
lancia(i),aa-iva,aa-iva,lancia(i),1,1
mcc smart,aa-iva,unknown,mcc smart,1,1
perard (f),aa-iva,aa-iva,perard (f),1,1
jikov (cz),aa-iva,unknown,jikov (cz),1,1
moosburner,aa-iva,unknown,moosburner,1,1
italdesign,italdesign giugiaro spa,italdesign,italdesign-giugiaro (i),1,1
al-ko kober,aa-iva,aa-iva,al-ko kober,1,1
buick (usa),aa-iva,unknown,buick (usa),1,1
dodgecharger,aa-iva,aa-iva,dodgecharger,1,1
dodgejourney,aa-iva,aa-iva,dodgejourney,1,1
geel-boy(rc),aa-iva,aa-iva,geel-boy(rc),1,1
maruti udyog,maruti suzuki india ltd,maruti suzuki,maruti udyog,1,1
german e cars,aa-iva,aa-iva,german e cars gmbh,1,1
other italian,aa-iva,aa-iva,other italian,1,1
binz  & co kg,daimler ag stuttgart,out of scope,binz gmbh & co kg,1,1
jlr ltd    uk,jaguar land rover limited,jaguar land rover limited,jlr ltd    uk,1,1
dodgediv.(usa),aa-iva,aa-iva,dodgediv.(usa),1,1
nanoproduction,aa-iva,aa-iva,nanoproduction,1,1
shuanghuan(rc),aa-iva,aa-iva,shuanghuan(rc),1,1
veicoli s.r.l.,aa-iva,aa-iva,veicoli s.r.l.,1,1
x-raid(trebur),aa-iva,aa-iva,x-raid(trebur),1,1
zetor zkl (cz),aa-iva,unknown,zetor zkl (cz),1,1
shanghai maple,shanghai maple automobile co ltd,shanghai maple,shanghai maple,1,1
stevens-ajs(gb),aa-iva,aa-iva,stevens-ajs(gb),1,1
stockmotorpflug,aa-iva,aa-iva,stockmotorpflug,1,1
dodge div.(usa),aa-iva,unknown,dodge div.(usa),1,1
bmb sp. z o. o.,automobiles citroen,automobiles citroen,bmb sp. z o. o.,1,1
chongqing lifan,chongqing lifan passenger vehicle co ltd,chongqing lifan,chongqing lifan passenger vehicle lf6,1,1
daf trucks n.v.,daf trucks n.v.,unknown,,1,1
sonst.kfz.herst.,aa-iva,aa-iva,sonst.kfz.herst.,1,1
elektro-stahlbau,aa-iva,out of scope,elektro-stahlbau,1,1
electric mobility,aa-iva,aa-iva,electric mobility,1,1
ningbogeneral(rc),aa-iva,aa-iva,ningbogeneral(rc),1,1
aeon motor taiwan,unknown,unknown,aeon motor taiwan,1,1
melex/motorissima,unknown,unknown,melex/motorissima,1,1
9fffahrzeugtechnik,aa-iva,aa-iva,9fffahrzeugtechnik,1,1
claeys-clayson (b),aa-iva,unknown,claeys-clayson (b),1,1
mitshubishi motors,mitsubishi motors corporation mmc,mitsubishi motors corporation,mitshubishi motors,1,1
laikacaravanss.p.a.,aa-iva,aa-iva,laikacaravanss.p.a.,1,1
sonst.kfzhersteller,aa-iva,aa-iva,sonst.kfzhersteller,1,1
zhejiang renli (rc),aa-iva,unknown,zhejiang renli (rc),1,1
am.mot.cor.-amc(cdn),aa-iva,aa-iva,am.mot.cor.-amc(cdn),1,1
harley-davidson(usa),aa-iva,aa-iva,harley-davidson(usa),1,1
shanghai jmstar (rc),aa-iva,aa-iva,shanghai jmstar (rc),1,1
am.mot.cor.-amc(usa),aa-iva,unknown,am.mot.cor.-amc(usa),1,1
shuanghuan  ceo at gl,shijiazhuang shuanghuan automobile company,shijiazhuang shuanghuan,shuanghuan  ceo at gl,1,1
othekktur framleidandi,unknown,unknown,othekktur framleidandi,1,1
moslerautomotiveltd(gb),aa-iva,aa-iva,moslerautomotiveltd(gb),1,1
alfa lancia spa 831ab020,fiat group automobiles spa,unknown,alfa lancia spa 831ab020,1,1
innocenti mini t  g 38 1,fiat group automobiles spa,unknown,innocenti mini t  g 38 1,1,1
alfa lancia spa 831abo24s,fiat group automobiles spa,unknown,alfa lancia spa 831abo24s,1,1
willys overland corporation,aa-iva,aa-iva,willys overland corporation,1,1
china first automotive group company,china first automotive group company,unknown,,1,1
fontana c.m. s85lv-zndme/fr1c           st,unknown,unknown,fontana c.m. s85lv-zndme/fr1c           st,1,1
0901,aa-iva,aa-iva,0901,2,2
holden,aa-iva,aa-iva,holden,2,2
miller,aa-iva,aa-iva,miller,1,2
gumpert,gumpert sportwagenmanufaktur gmbh,gumpert,gumpert,1,2
gumpert,gumpert sportwagenmanufaktur gmbh,unknown,gumpert,1,2
santana,santana motor sa,santana,,1,2
westfalia,aa-iva,aa-iva,westfalia,2,2
mobilvetta,aa-iva,aa-iva,mobilvetta,2,2
miller,aa-iva,aa-iva,miller(usa),1,2
austin (gb),aa-iva,unknown,austin (gb),2,2
santana,santana motor sa,unknown,santana (e),1,2
adria caravan (slo),aa-iva,aa-iva,adria caravan (slo),1,2
adria caravan (slo),aa-iva,unknown,adria caravan (slo),1,2
jianglinmotorscompany,aa-iva,aa-iva,jianglinmotorscompany,2,2
lancia appia iii serie,fiat group automobiles spa,unknown,lancia appia iii serie,2,2
zotye holding ng group,"zejiang zotye automobile manufacturing co., ltd",zotye holding ng group,"zejiang zotye automobile manufacturing co., ltd",1,2
zotye holding ng group,zotye holding ng group,zotye holding ng group,,1,2
fso syrena w kutnie s.a.,unknown,unknown,fso syrena w kutnie s.a.,2,2
gruau,daimler ag,daimler ag,gruau,3,3
quoros,aa-iva,aa-iva,quoros,2,3
melkus,aa-iva,unknown,melkus,3,3
lumeneo,aa-nss,aa-nss,lumeneo,3,3
jlr  uk,jaguar land rover limited,jaguar land rover limited,jlr  uk,3,3
piaggio,piaggio & c spa,piaggio,,2,3
piaggio,piaggio & c spa,piaggio,piaggio & c. spa,1,3
triumph,unknown,unknown,triumph,1,3
euramobil,aa-iva,aa-iva,euramobil,3,3
hohenester,aa-iva,aa-iva,hohenester,1,3
hohenester,aa-iva,unknown,hohenester,2,3
s.e.a.s.p.a,aa-iva,aa-iva,s.e.a.s.p.a,2,3
agria-werke,aa-iva,unknown,agria-werke,3,3
s.e.a.s.p.a,aa-iva,aa-iva,s.e.a.s.p.a.,1,3
ac automotive,aa-iva,unknown,ac automotive,3,3
diamond (usa),aa-iva,unknown,diamond (usa),3,3
tecno meccanica,tecno meccanica imola spa,tecno meccanica,tecno meccanica imola spa,3,3
